uid,sex,age,label,dFI,Tot_ave_bk_fr
p16-lucf4-035,M,106,LUC,3.635,7.205
p16-lucf4-036,M,106,LUC,1.681,6.691
p16-lucf4-043,M,103,LUC,0.640,6.473
p16-lucf5-001,M,68,LUC,-0.131,5.974
p16-lucf5-014,M,66,LUC,-0.355,6.584
p16-lucf5-016,M,66,LUC,0.963,6.470
p16-lucf5-020,M,64,LUC,0.827,6.434
p16-lucf5-024,M,64,LUC,0.746,6.615
p16-lucf5-028,M,64,LUC,0.826,6.730
p16-lucf5-036,M,61,LUC,1.068,6.530
p16-lucf5-038,M,61,LUC,0.689,6.785
p16-lucf5-043,M,59,LUC,1.511,6.614
p16-lucf5-047,M,58,LUC,0.954,6.210
p16-lucf5-049,M,58,LUC,-0.564,6.377
p16-lucf5-050,M,58,LUC,0.210,6.573
p16-lucf5-055,M,52,LUC,1.564,6.421
p16-lucf5-056,M,52,LUC,0.306,6.293
p16-lucf5-057,M,52,LUC,0.092,6.378
p16-lucf5-059,M,52,LUC,-0.315,6.417
p16-lucf5-060,M,52,LUC,0.100,6.357
p16-lucf5-063,M,52,LUC,0.542,6.293
p16-lucf5-064,M,44,LUC,0.754,6.536
p16-lucf5-067,M,44,LUC,-0.130,6.121
